state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
8,CO,2023-10-21,493.29,367.77,255.54,56.11,293.17749999999995
8,CO,2023-10-28,481.29,346.77,205.54,28.24,265.46
8,CO,2023-11-04,460.29,296.77,170.54,35.94,240.885
8,CO,2023-11-11,410.29,261.77,181.54,18.68,218.06999999999996
8,CO,2023-11-18,375.29,272.77,154.54,17.15,204.93749999999997
8,CO,2023-11-25,386.29,245.77,88.84,36.11,189.25250000000003
8,CO,2023-12-02,359.29,178.77,62.67,120.98,180.4275
8,CO,2023-12-09,292.29,146.77,17.01,82.98,134.76250000000002
8,CO,2023-12-16,260.29,65.46,27.62,62.63,104.0
8,CO,2023-12-23,166.29,94.77,39.19,10.33,77.645
8,CO,2023-12-30,204.29,114.07,110.54,21.63,112.63250000000001
8,CO,2024-01-06,226.29,201.77,80.97,10.2,129.8075
8,CO,2024-01-13,315.29,169.77,111.54,10.2,151.70000000000002
8,CO,2024-01-20,283.29,202.77,111.54,28.24,156.46
8,CO,2024-01-27,316.29,202.77,170.54,33.72,180.83
8,CO,2024-02-03,316.29,261.77,178.54,64.68,205.32
8,CO,2024-02-10,375.29,269.77,214.54,76.68,234.07
8,CO,2024-02-17,383.29,305.77,226.54,61.68,244.31999999999996
8,CO,2024-02-24,419.29,317.77,211.54,60.68,252.31999999999996
8,CO,2024-03-02,431.29,302.77,210.54,89.68,258.57
8,CO,2024-03-09,416.29,301.77,239.54,108.68,266.57
8,CO,2024-03-16,415.29,330.77,258.54,102.68,276.82
8,CO,2024-03-23,444.29,349.77,252.54,131.68,294.57
8,CO,2024-03-30,463.29,343.77,281.54,134.68,305.82
