state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
39,OH,2023-10-21,96.54,130.64,162.4,92.58,120.54
39,OH,2023-10-28,92.54,125.64,132.4,73.58,106.04
39,OH,2023-11-04,87.54,95.64,113.4,24.24,80.20500000000001
39,OH,2023-11-11,57.54,76.64,56.4,11.93,50.627500000000005
39,OH,2023-11-18,39.93,26.51,35.58,33.41,33.8575
39,OH,2023-11-25,8.5,13.34,12.71,212.5,61.7625
39,OH,2023-12-02,12.37,30.64,159.53,422.5,156.26
39,OH,2023-12-09,67.85,207.82,369.53,358.5,250.92499999999998
39,OH,2023-12-16,256.59,417.82,305.53,326.5,326.61
39,OH,2023-12-23,466.59,353.82,273.53,289.5,345.86
39,OH,2023-12-30,402.59,321.82,236.53,374.5,333.86
39,OH,2024-01-06,370.59,284.82,321.53,375.5,338.11
39,OH,2024-01-13,333.59,369.82,322.53,392.5,354.61
39,OH,2024-01-20,418.59,370.82,339.53,394.5,380.86
39,OH,2024-01-27,419.59,387.82,341.53,446.5,398.86
39,OH,2024-02-03,436.59,389.82,393.53,423.5,410.86
39,OH,2024-02-10,438.59,441.82,370.53,407.5,414.61
39,OH,2024-02-17,490.59,418.82,354.53,141.5,351.36
39,OH,2024-02-24,467.59,402.82,89.32,53.89,253.405
39,OH,2024-03-02,451.59,136.82,21.88,37.02,161.8275
39,OH,2024-03-09,185.59,50.25,13.8,56.37,76.5025
39,OH,2024-03-16,94.59,33.91,23.32,10.8,40.655
39,OH,2024-03-23,72.59,52.73,18.62,42.19,46.5325
39,OH,2024-03-30,97.59,10.64,79.4,73.58,65.3025
