state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
24,MD,2023-10-21,114.7,113.94,101.48,106.43
24,MD,2023-10-28,109.7,109.94,93.48,111.43
24,MD,2023-11-04,105.7,101.94,98.48,73.43
24,MD,2023-11-11,97.7,106.94,60.48,55.69
24,MD,2023-11-18,102.7,68.94,43.43,26.17
24,MD,2023-11-25,64.7,51.46,17.04,23.73
24,MD,2023-12-02,47.31,22.98,34.52,131.08
24,MD,2023-12-09,19.79,26.9,148.22,125.08
24,MD,2023-12-16,30.57,136.42,142.22,51.3
24,MD,2023-12-23,142.18,130.42,65.83,18.73
24,MD,2023-12-30,136.18,55.59,28.22,9.64
24,MD,2024-01-06,60.49,21.46,13.48,27.47
24,MD,2024-01-13,24.7,10.81,18.17,28.77
24,MD,2024-01-20,11.88,24.29,19.3,21.12
24,MD,2024-01-27,20.92,25.59,13.39,24.21
24,MD,2024-02-03,22.23,18.2,15.61,10.64
24,MD,2024-02-10,15.53,21.03,15.61,10.43
24,MD,2024-02-17,18.09,12.07,15.13,26.82
24,MD,2024-02-24,13.57,11.77,17.61,58.43
24,MD,2024-03-02,13.18,23.64,46.17,57.51
24,MD,2024-03-09,20.36,54.2,45.26,46.64
24,MD,2024-03-16,50.05,53.29,35.09,78.43
24,MD,2024-03-23,49.14,42.68,65.48,95.43
24,MD,2024-03-30,38.88,73.94,82.48,113.43
